2023 MLB Salaries,,,,
Last,First,Pos'n,MLS,2023
Verlander, Justin,rhp-s,17.002,"$43,333,333 "
Scherzer, Max,rhp-s,14.079,"$43,333,333 "
Judge, Aaron,rf-dh,6.051,"$40,000,000 "
Rendon, Anthony,3b,9.13,"$38,571,429 "
Trout, Mike,cf,11.07,"$37,116,667 "
Cole, Gerrit,rhp-s,9.111,"$36,000,000 "
Seager, Corey,ss,7.032,"$35,500,000 "
Correa, Carlos,ss,7.119,"$33,333,333 "
Arenado, Nolan,3b,9.155,"$32,822,071 "
Strasburg, Stephen,rhp-s,12.118,"$32,500,286 "
Lindor, Francisco,ss,7.113,"$32,477,277 "
Cabrera, Miguel,dh,19.101,"$32,000,000 "
Stanton, Giancarlo,dh-rf,12.118,"$32,000,000 "
Bregman, Alex,3b,6.07,"$30,500,000 "
deGrom, Jacob,rhp-s,8.139,"$30,000,000 "
Ohtani, Shohei,rhp-s,5,"$30,000,000 "
Altuve, Jose,2b,11.072,"$29,200,000 "
Bryant, Kris,rf,7.171,"$28,000,000 "
Harper, Bryce,rf,10.159,"$27,538,462 "
Turner, Trea,ss,6.135,"$27,272,727 "
Semien, Marcus,2b,8.118,"$26,000,000 "
Bogaerts, Xander,ss,9.042,"$25,454,545 "
Goldschmidt, Paul,1b,11.059,"$25,333,333 "
Freeman, Freddie,1b,12.033,"$25,290,674 "
Votto, Joey,1b,15.027,"$25,000,000 "
Darvish, Yu,rhp-s,11,"$25,000,000 "
Stroman, Marcus,rhp-s,8.026,"$25,000,000 "
Wheeler, Zack,rhp-s,9.098,"$24,500,000 "
Corbin, Patrick,lhp-s,10.105,"$24,416,667 "
Yelich, Christian,lf,9.069,"$24,250,727 "
Springer, George,rf,8.166,"$24,166,667 "
Realmuto, J.T.,c,8.038,"$23,875,000 "
Soto, Juan,lf,4.134,"$23,000,000 "
Rodon, Carlos,lhp-s,7.168,"$22,833,333 "
Heyward, Jason,rf-cf,13,"$22,000,000 "
Baez, Javier,ss,7.089,"$22,000,000 "
Bumgarner, Madison,lhp-s,12.127,"$21,882,892 "
Donaldson, Josh,dh-3b,10.158,"$21,750,000 "
Sale, Chris,lhp-s,12.061,"$21,672,484 "
Mikolas, Miles,rhp-s,6.037,"$21,666,667 "
Betts, Mookie,rf,8.07,"$21,158,692 "
Machado, Manny,3b,10.056,"$21,090,909 "
Gausman, Kevin,rhp-s,8.151,"$21,000,000 "
Ray, Robbie,lhp-s,8.007,"$21,000,000 "
Olson, Matt,1b,5.103,"$21,000,000 "
Marte, Starling,rf,9.162,"$20,750,000 "
Kershaw, Clayton,lhp-s,14.105,"$20,000,000 "
Morton, Charlie,rhp-s,14.01,"$20,000,000 "
Perez, Salvador,c,11.05,"$20,000,000 "
Ryu, Hyun Jin,lhp-s,10,"$20,000,000 "
Castellanos, Nick,dh-of,9.029,"$20,000,000 "
Schwarber, Kyle,lf-dh,7.086,"$20,000,000 "
Story, Trevor,2b,7,"$20,000,000 "
Musgrove, Joe,rhp-s,6.063,"$20,000,000 "
Perez, Martin,lhp-s,10.038,"$19,650,000 "
Pederson, Joc,lf,8.028,"$19,650,000 "
Abreu, Jose,1b,9,"$19,500,000 "
Bassitt, Chris,rhp-s,6.13,"$19,000,000 "
Diaz, Edwin,rhp-c,6.121,"$18,640,000 "
Lynn, Lance,rhp-s,11.119,"$18,500,000 "
Nimmo, Brandon,cf,6.042,"$18,500,000 "
Grandal, Yasmani,c,10.115,"$18,250,000 "
Moustakas, Mike,3b,11.111,"$18,000,000 "
Ozuna, Marcell,dh,9.124,"$18,000,000 "
Walker, Taijuan,rhp-s,8.142,"$18,000,000 "
Conforto, Michael,dh-rf,6.043,"$18,000,000 "
Suzuki, Seiya,rf,1,"$18,000,000 "
Moncada, Yoan,3b,5.106,"$17,800,000 "
Devers, Rafael,3b,5.07,"$17,500,000 "
Eovaldi, Nathan,rhp-s,11.013,"$17,000,000 "
Rizzo, Anthony,1b,10.168,"$17,000,000 "
Acuna, Ronald,rf,4.159,"$17,000,000 "
Snell, Blake,lhp-s,6.072,"$16,600,000 "
Bell, Josh,dh-1b,6.053,"$16,500,000 "
Nola, Aaron,rhp-s,7.076,"$16,250,000 "
Jansen, Kenley,rhp-c,12.073,"$16,000,000 "
Crawford, Brandon,ss,11.094,"$16,000,000 "
Iglesias, Raisel,rhp-c,7.154,"$16,000,000 "
Berrios, Jose O.,rhp-s,6.044,"$16,000,000 "
McCullers Jr., Lance,rhp-s,7.14,"$15,950,000 "
Yoshida, Masataka,lf,0,"$15,600,000 "
Marquez, German,rhp-s,6.027,"$15,300,000 "
Buxton, Byron,dh-cf,6.16,"$15,142,857 "
LeMahieu, DJ,3b,10.128,"$15,000,000 "
Blackmon, Charlie,dh-of,10.102,"$15,000,000 "
Soler, Jorge,dh-rf,7.143,"$15,000,000 "
Gray, Jon,rhp-s,7.062,"$15,000,000 "
Taylor, Chris,cf,7.037,"$15,000,000 "
Severino, Luis,rhp-s,6.17,"$15,000,000 "
Riley, Austin,3b,3.138,"$15,000,000 "
Senga, Kodai,rhp-s,0,"$15,000,000 "
Wainwright, Adam,rhp-s,17.027,"$14,521,720 "
Hendricks, Kyle,rhp-s,8.081,"$14,500,000 "
Alonso, Pete,1b,4,"$14,500,000 "
Guerrero Jr., Vladimir,1b,3.157,"$14,500,000 "
Hendriks, Liam,rhp-c,8.164,"$14,333,333 "
Urias, Julio,lhp-s,5.117,"$14,250,000 "
Hader, Josh,lhp-c,5.115,"$14,100,000 "
Carrasco, Carlos,rhp-s,11.147,"$14,000,000 "
Pressly, Ryan,rhp-c,9.039,"$14,000,000 "
Ramirez, Jose,3b,8.074,"$14,000,000 "
Rodriguez, Eduardo,lhp-s,7.07,"$14,000,000 "
Taillon, Jameson,rhp-s,6.11,"$14,000,000 "
Swanson, Dansby,ss,6.047,"$14,000,000 "
Hernandez, Teoscar,rf,5.097,"$14,000,000 "
Muncy, Max,3b,6.027,"$13,500,000 "
Fried, Max,lhp-s,4.148,"$13,500,000 "
Gray, Sonny,rhp-s,9.061,"$13,100,000 "
Hosmer, Eric,1b,11.146,"$13,000,000 "
Quintana, Jose,lhp-s,10.133,"$13,000,000 "
Syndergaard, Noah,rhp-s,7.149,"$13,000,000 "
Anderson, Tyler,lhp-s,7.065,"$13,000,000 "
Wood, Alex,lhp-s,9.123,"$12,500,000 "
Odorizzi, Jake,rhp-s,9.042,"$12,500,000 "
Manaea, Sean,lhp-s,6.157,"$12,500,000 "
Anderson, Tim,ss,6.115,"$12,500,000 "
Stripling, Ross,rhp-s,6.115,"$12,500,000 "
Bellinger, Cody,cf,5.16,"$12,500,000 "
Chapman, Matt,3b,5.109,"$12,500,000 "
McCann, James,c,8.028,"$12,150,000 "
Brantley, Michael,dh-lf,12.131,"$12,000,000 "
Garcia, Avisail,rf,9.167,"$12,000,000 "
DeSclafani, Anthony,rhp-s,8.062,"$12,000,000 "
Heaney, Andrew,lhp-s,7.15,"$12,000,000 "
Hoskins, Rhys,1b,5.053,"$12,000,000 "
Renfroe, Hunter,rf,5.165,"$11,900,000 "
Marte, Ketel,2b,6.162,"$11,600,000 "
La Stella, Tommy,2b-3b,8.057,"$11,500,000 "
Canha, Mark,lf,7.092,"$11,500,000 "
Montero, Rafael,rhp,6.138,"$11,500,000 "
Castillo, Luis,rhp-s,5.101,"$11,400,000 "
Suarez, Eugenio,3b,8.061,"$11,285,714 "
Gallo, Joey,rf,6.103,"$11,000,000 "
Eflin, Zach,rhp-s,6.018,"$11,000,000 "
Crawford, J.P.,ss,4.163,"$11,000,000 "
Happ, Ian,lf,5.036,"$10,850,000 "
Woodruff, Brandon,rhp-s,4.161,"$10,800,000 "
Hicks, Aaron,lf,9.041,"$10,785,714 "
Matz, Steven,lhp-s,7.099,"$10,500,000 "
Freeland, Kyle,lhp-s,5.144,"$10,500,000 "
Giolito, Lucas,rhp-s,5.08,"$10,400,000 "
Ahmed, Nick,ss,8.054,"$10,375,000 "
Grichuk, Randal,cf,8.033,"$10,333,333 "
Jimenez, Eloy,dh-lf,4,"$10,333,333 "
Bieber, Shane,rhp-s,4.097,"$10,010,000 "
Burnes, Corbin,rhp-s,4.049,"$10,010,000 "
Robertson, David,rhp-c,13.119,"$10,000,000 "
Kimbrel, Craig,rhp-c,11.161,"$10,000,000 "
Martinez, J.D.,dh-rf,11.036,"$10,000,000 "
Kluber, Corey,rhp-s,10.074,"$10,000,000 "
Pomeranz, Drew,lhp,10.013,"$10,000,000 "
Wong, Kolten,2b,9.045,"$10,000,000 "
Gibson, Kyle,rhp-s,9.039,"$10,000,000 "
Hernandez, Kike,ss,8.054,"$10,000,000 "
Vazquez, Christian,c,8.031,"$10,000,000 "
Boyd, Matt,lhp-s,6.136,"$10,000,000 "
Contreras, Willson,c,6.108,"$10,000,000 "
Montgomery, Jordan,lhp-s,5.153,"$10,000,000 "
Martinez, Nick,rhp-s,4.002,"$10,000,000 "
Kikuchi, Yusei,lhp-s,4,"$10,000,000 "
Hayes, Ke'Bryan,3b,2.075,"$10,000,000 "
Suarez, Robert,rhp,1,"$10,000,000 "
Torres, Gleyber,2b,4.162,"$9,950,000 "
Escobar, Eduardo,3b,10.128,"$9,500,000 "
Bard, Daniel,rhp-c,6.103,"$9,500,000 "
Robert Jr., Luis,cf,3,"$9,500,000 "
Belt, Brandon,dh,11.128,"$9,300,000 "
DeJong, Paul,ss,5.057,"$9,166,667 "
Cobb, Alex,rhp-s,11.061,"$9,000,000 "
Kelly, Joe,rhp,10.029,"$9,000,000 "
Kiermaier, Kevin,cf,8.131,"$9,000,000 "
Rosario, Eddie,lf,7.12,"$9,000,000 "
Rogers, Taylor,lhp,6.145,"$9,000,000 "
McMahon, Ryan,2b,5.006,"$9,000,000 "
Adames, Willy,ss,4.105,"$8,700,000 "
Benintendi, Andrew,lf,6.062,"$8,600,000 "
Greinke, Zack,rhp-s,18.057,"$8,500,000 "
Lyles, Jordan,rhp-s,11.002,"$8,500,000 "
Lorenzen, Michael,rhp-s,7.159,"$8,500,000 "
Kepler, Max,lf,6.152,"$8,500,000 "
Drury, Brandon,3b,6.001,"$8,500,000 "
Kelly, Merrill,rhp-s,4,"$8,500,000 "
Urshela, Gio,ss,5.127,"$8,400,000 "
Barnes, Matt,rhp,7.11,"$8,375,000 "
Turner, Justin,dh-3b,12.045,"$8,300,000 "
Winker, Jesse,dh-lf,5.08,"$8,250,000 "
Buehler, Walker,rhp,4.168,"$8,025,000 "
Hill, Rich,lhp-s,13.127,"$8,000,000 "
Smyly, Drew,lhp-s,10.143,"$8,000,000 "
d'Arnaud, Travis,c,9.044,"$8,000,000 "
Treinen, Blake,rhp,8.065,"$8,000,000 "
Graveman, Kendall,rhp,7.078,"$8,000,000 "
Neris, Hector,rhp,7.068,"$8,000,000 "
Narvaez, Omar,c,6.089,"$8,000,000 "
Frazier, Adam,2b-of,6.075,"$8,000,000 "
Haniger, Mitch,rf,6.048,"$8,000,000 "
Clevinger, Mike,rhp-s,6.033,"$8,000,000 "
Martin, Chris,rhp,5.133,"$8,000,000 "
Flexen, Chris,rhp-s,2.107,"$8,000,000 "
Alvarez, Yordan,lf-dh,3.113,"$7,833,333 "
Rosario, Amed,ss,5.062,"$7,800,000 "
Profar, Jurickson,lf,8.165,"$7,710,778 "
Moore, Matt,lhp-s,10,"$7,550,000 "
Loup, Aaron,lhp,10.04,"$7,500,000 "
Wacha, Michael,rhp-s,9.062,"$7,500,000 "
Schoop, Jonathan,2b,9.027,"$7,500,000 "
Cron, C.J.,1b,8.097,"$7,500,000 "
Lugo, Seth,rhp-s,6.082,"$7,500,000 "
Strahm, Matt,lhp-s,6.064,"$7,500,000 "
Polanco, Jorge,2b,6.024,"$7,500,000 "
Dozier, Hunter,3b,5.06,"$7,500,000 "
Mahle, Tyler,rhp-s,5.018,"$7,500,000 "
Montas, Frankie,rhp-s,5.015,"$7,500,000 "
Santander, Anthony,rf,4.162,"$7,400,000 "
Senzatela, Antonio,rhp-s,5.106,"$7,250,000 "
Pollock, AJ,dh-of,10.052,"$7,000,000 "
May, Trevor,rhp,8.012,"$7,000,000 "
Tepera, Ryan,rhp,7.008,"$7,000,000 "
Duvall, Adam,cf,6.151,"$7,000,000 "
Stassi, Max,c,6.049,"$7,000,000 "
Mancini, Trey,dh-1b,6.015,"$7,000,000 "
Margot, Manuel,rf,6.012,"$7,000,000 "
Albies, Ozzie,2b,5.062,"$7,000,000 "
Kim, Ha-Seong,2b,2,"$7,000,000 "
Tatis Jr., Fernando,rf,3.127,"$6,923,963 "
Valdez, Framber,lhp-s,3.163,"$6,800,000 "
Merrifield, Whit,2b,6.101,"$6,750,000 "
Estevez, Carlos,rhp-c,6.022,"$6,750,000 "
Gonzales, Marco,lhp-s,5.102,"$6,750,000 "
Reynolds, Bryan,lf,3.163,"$6,750,000 "
Santana, Carlos,1b-dh,12.115,"$6,725,000 "
Ottavino, Adam,rhp,11.087,"$6,647,002 "
Hudson, Daniel,rhp,12.106,"$6,500,000 "
Carpenter, Matt,dh-1b,10.145,"$6,500,000 "
Segura, Jean,3b,10.065,"$6,500,000 "
Flores, Wilmer,2b-3b,9.003,"$6,500,000 "
Peralta, David,lf,8.12,"$6,500,000 "
Diaz, Aledmys,ss,6.1,"$6,500,000 "
Walker, Christian,1b,4.124,"$6,500,000 "
Alcantara, Sandy,rhp-s,4.1,"$6,300,000 "
Verdugo, Alex,rf,4.078,"$6,300,000 "
McNeil, Jeff,2b,4.069,"$6,250,000 "
Rodriguez, Julio,cf,1,"$6,185,714 "
Yastrzemski, Mike,cf,3.128,"$6,100,000 "
Arraez, Luis,2b,3.121,"$6,100,000 "
Cueto, Johnny,rhp-s,14.143,"$6,000,000 "
Melancon, Mark,rhp-c,12.098,"$6,000,000 "
Gomes, Yan,c,10.083,"$6,000,000 "
Myers, Wil,rf,9.104,"$6,000,000 "
Zunino, Mike,c,8.165,"$6,000,000 "
Yates, Kirby,rhp,8.021,"$6,000,000 "
Pham, Tommy,of,7.107,"$6,000,000 "
Leclerc, Jose,rhp-c,6.041,"$6,000,000 "
Williams, Trevor,rhp-s,6.027,"$6,000,000 "
Wendle, Joey,ss,5.088,"$6,000,000 "
Kiner-Falefa, Isiah,ss,5,"$6,000,000 "
Diaz, Yandy,1b,4.122,"$6,000,000 "
Fletcher, David,ss,4.111,"$6,000,000 "
Gurriel Jr., Lourdes,dh,4.094,"$5,828,571 "
Keller, Brad,rhp-s,5,"$5,775,000 "
Kahnle, Tommy,rhp,7.131,"$5,750,000 "
Cease, Dylan,rhp-s,3.089,"$5,700,000 "
Gallen, Zac,rhp-s,3.1,"$5,600,000 "
Farmer, Kyle,inf,4.129,"$5,585,000 "
Quantrill, Cal,rhp-s,3.132,"$5,550,000 "
Chafin, Andrew,lhp,8.02,"$5,500,000 "
Garcia, Yimi,rhp,7.149,"$5,500,000 "
Diaz, Elias,c,6.088,"$5,500,000 "
Lopez, Pablo,rhp-s,4.093,"$5,450,000 "
Flaherty, Jack,rhp-s,5.006,"$5,400,000 "
Glasnow, Tyler,rhp-s,5.158,"$5,350,000 "
Pivetta, Nick,rhp-s,4.166,"$5,350,000 "
Barlow, Scott,rhp,4.03,"$5,300,000 "
Lowe, Brandon,2b,4.058,"$5,250,000 "
SmithC, Will,c,3.09,"$5,250,000 "
Bader, Harrison,cf,5.03,"$5,200,000 "
Lauer, Eric,lhp-s,4.033,"$5,075,000 "
McCutchen, Andrew,rf,13.123,"$5,000,000 "
Maldonado, Martin,c,10.156,"$5,000,000 "
McHugh, Collin,rhp,8.085,"$5,000,000 "
Hedges, Austin,c,6.166,"$5,000,000 "
Lamet, Dinelson,rhp-s,5.07,"$5,000,000 "
Candelario, Jeimer,3b,5.038,"$5,000,000 "
Johnson, Pierce,rhp,3.137,"$5,000,000 "
Tucker, Kyle,rf,3.079,"$5,000,000 "
Harris II, Michael,cf,0.131,"$5,000,000 "
O'Neill, Tyler,72000017,4.059,"$4,950,000 "
Tellez, Rowdy,1b,4.004,"$4,950,000 "
Gallegos, Giovanny,rhp,4.085,"$4,750,000 "
Davies, Zach,rhp-s,7.02,"$4,700,000 "
Urias, Luis,3b,3.12,"$4,700,000 "
Choi, Ji Man,dh-1b,5.076,"$4,650,000 "
Webb, Logan,rhp-s,3.044,"$4,600,000 "
Romano, Jordan,rhp-c,3.051,"$4,537,500 "
Taylor, Michael A.,cf,7.129,"$4,500,000 "
Pina, Manny,c,7.046,"$4,500,000 "
Peterson, Jace,3b,6.142,"$4,500,000 "
Raley, Brooks,lhp,3.045,"$4,500,000 "
Meadows, Austin,rf,4.074,"$4,300,000 "
Minter, A.J.,lhp,4.154,"$4,287,500 "
Kelly, Carson,c,4.161,"$4,275,000 "
Rojas, Miguel,ss,8.043,"$4,250,000 "
Cronenworth, Jake,1b,3,"$4,225,000 "
Davis, J.D.,3b,4.137,"$4,210,000 "
Cooper, Garrett,1b,5.053,"$4,200,000 "
Edman, Tommy,ss,3.114,"$4,200,000 "
Arozarena, Randy,lf,2.129,"$4,150,000 "
Trivino, Lou,rhp,4.163,"$4,100,000 "
Sewald, Paul,rhp-c,4.072,"$4,100,000 "
France, Ty,1b,3.089,"$4,100,000 "
Mullins, Cedric,cf,3.078,"$4,100,000 "
Lowe, Nathaniel,1b,2.145,"$4,050,000 "
Longoria, Evan,3b,14.17,"$4,000,000 "
Miller, Brad,dh-inf,9.004,"$4,000,000 "
Paxton, James,lhp-s,8.151,"$4,000,000 "
Fulmer, Michael,rhp,6.157,"$4,000,000 "
Springs, Jeffrey,lhp-s,4.055,"$4,000,000 "
Murphy, Sean,c,3.029,"$4,000,000 "
Bichette, Bo,ss,3.063,"$3,933,333 "
Soto, Gregory,lhp,3.102,"$3,925,000 "
Floro, Dylan,rhp-c,5.053,"$3,900,000 "
Garver, Mitch,c-dh,5.045,"$3,900,000 "
Chapman, Aroldis,lhp-c,12.009,"$3,750,000 "
Garcia, Luis,rhp,7.007,"$3,750,000 "
Bummer, Aaron,lhp,4.15,"$3,750,000 "
Peralta, Freddy,rhp-s,4.09,"$3,735,000 "
Kemp, Tony,2b,5.098,"$3,725,000 "
Lopez, Nicky,2b,3.139,"$3,700,000 "
Fairbanks, Pete,rhp-c,3.057,"$3,666,666 "
Lopez, Reynaldo,rhp,5.004,"$3,625,000 "
Stanek, Ryne,rhp,5.038,"$3,600,000 "
Houser, Adrian,rhp,4.01,"$3,600,000 "
Laureano, Ramon,rf,3.165,"$3,550,000 "
Lopez, Jorge,rhp,4.102,"$3,525,000 "
Miley, Wade,lhp-s,11.025,"$3,500,000 "
Diekman, Jake,lhp,10.05,"$3,500,000 "
Barnes, Austin,c,6.098,"$3,500,000 "
Castro, Miguel,rhp,6.079,"$3,500,000 "
Bleier, Richard,lhp,6.074,"$3,500,000 "
Pagan, Emilio,rhp,5.091,"$3,500,000 "
Anderson, Brian,rf,5.031,"$3,500,000 "
Jansen, Danny,c,4.05,"$3,500,000 "
Alvarado, Jose,lhp,5.082,"$3,466,667 "
Javier, Cristian,rhp-s,3,"$3,400,000 "
Peralta, Wandy,lhp,5.168,"$3,350,000 "
Stallings, Jacob,c,4.149,"$3,350,000 "
Naylor, Josh,1b,3.127,"$3,350,000 "
Williams, Devin,rhp-c,3.056,"$3,350,000 "
Holmes, Clay,rhp-c,4.031,"$3,300,000 "
Barnhart, Tucker,c,8.075,"$3,250,000 "
Gonsolin, Tony,rhp-s,2.152,"$3,250,000 "
Fujinami, Shintaro,rhp-s,0,"$3,250,000 "
Slater, Austin,of,4.147,"$3,200,000 "
Cortes, Nestor,lhp-s,3.094,"$3,200,000 "
Hays, Austin,lf,3.057,"$3,200,000 "
Grisham, Trent,cf,3.06,"$3,175,000 "
Velasquez, Vince,rhp-s,7.086,"$3,150,000 "
Cimber, Adam,rhp,4.156,"$3,150,000 "
Maeda, Kenta,rhp-s,7,"$3,125,000 "
Varsho, Daulton,lf,2.128,"$3,050,000 "
Mondesi, Adalberto,ss,5.088,"$3,045,000 "
Urquidy, Jose,rhp-s,3.049,"$3,025,000 "
Andrus, Elvis,2b,14,"$3,000,000 "
Pillar, Kevin,cf,8.072,"$3,000,000 "
Bass, Anthony,rhp,8.01,"$3,000,000 "
